rank,patch_index,x,y,grid_row,grid_col,tissue_fraction,activation,normalized_activation
1,2658,4992,6432,67,52,0.9462890625,0.875264048576355,1.0
2,163,4704,960,10,49,0.9213324652777778,0.778473973274231,0.7409477233886719
3,527,5376,2112,22,56,0.9074435763888888,0.7770000696182251,0.737002968788147
4,244,5088,1248,13,53,0.9054904513888888,0.7623007297515869,0.6976611018180847
5,274,5184,1344,14,54,0.9408637152777778,0.7602617740631104,0.6922039985656738
6,1664,6528,4608,48,68,0.9698350694444444,0.753921627998352,0.6752350330352783
7,2697,4224,6528,68,44,0.8705512152777778,0.7531976699829102,0.6732974052429199
8,423,5280,1824,19,55,0.9105902777777778,0.7476493120193481,0.6584475636482239
9,141,4800,864,9,50,0.8763020833333334,0.7268834114074707,0.6028690338134766
10,2872,6816,6816,71,71,0.9166666666666666,0.6961710453033447,0.5206694006919861
11,77,4704,576,6,49,0.939453125,0.6941959857940674,0.5153833031654358
12,333,5184,1536,16,54,0.9377170138888888,0.6842023134231567,0.4886358678340912
13,174,3360,1056,11,35,0.958984375,0.6810102462768555,0.48009252548217773
14,242,4896,1248,13,51,0.9353298611111112,0.679977536201477,0.4773285388946533
15,968,2592,3360,35,27,0.9823133680555556,0.67107093334198,0.45349058508872986
16,142,4896,864,9,51,0.9084201388888888,0.6569337844848633,0.41565343737602234
17,2661,5280,6432,67,55,0.9811197916666666,0.6462953090667725,0.38718026876449585
18,58,4608,480,5,48,0.9329427083333334,0.6448423862457275,0.383291631937027
19,125,3264,864,9,34,0.9397786458333334,0.6429704427719116,0.37828147411346436
20,2308,7008,5664,59,73,0.939453125,0.6349087953567505,0.3567050099372864
21,495,5472,2016,21,57,0.8597005208333334,0.6220903396606445,0.32239726185798645
22,23,4224,288,3,44,0.9368489583333334,0.6219028234481812,0.32189539074897766
23,2476,5184,6048,63,54,0.8976779513888888,0.6218008995056152,0.3216226100921631
24,1299,2592,4032,42,27,0.9201388888888888,0.6057591438293457,0.27868789434432983
25,2369,1920,5856,61,20,0.9151475694444444,0.6048825979232788,0.27634188532829285
26,627,5184,2400,25,54,0.8631727430555556,0.6040314435958862,0.2740638256072998
27,554,4704,2208,23,49,0.9773220486111112,0.6006584167480469,0.26503613591194153
28,361,5088,1632,17,53,0.9467230902777778,0.5978326797485352,0.2574732303619385
29,269,4704,1344,14,49,0.9728732638888888,0.5952050685882568,0.2504406273365021
30,392,5184,1728,18,54,0.9423828125,0.5921163558959961,0.24217388033866882
31,1344,1824,4128,43,19,0.8811848958333334,0.5880755186080933,0.2313588410615921
32,494,5376,2016,21,56,0.8598090277777778,0.5769209861755371,0.20150446891784668
33,1965,1728,5184,54,18,0.8435329861111112,0.574190616607666,0.19419682025909424
34,384,4416,1728,18,46,0.9672309027777778,0.5736902952194214,0.1928577423095703
35,2124,5184,5376,56,54,0.9925130208333334,0.5724442005157471,0.1895226538181305
36,520,4704,2112,22,49,0.9957682291666666,0.5711231231689453,0.18598687648773193
37,2826,6720,6720,70,70,0.8946397569444444,0.5700254440307617,0.1830490082502365
38,522,4896,2112,22,51,0.9881727430555556,0.5694122314453125,0.18140779435634613
39,751,4032,2784,29,42,0.9934895833333334,0.569337010383606,0.18120646476745605
40,1436,5568,4224,44,58,0.9490017361111112,0.5633254051208496,0.1651168018579483
41,1924,3552,5088,53,37,0.8338758680555556,0.5613490343093872,0.15982717275619507
42,1725,1344,4800,50,14,0.8881293402777778,0.5592362880706787,0.15417255461215973
43,2172,4608,5472,57,48,0.9201388888888888,0.5574928522109985,0.1495063602924347
44,334,5280,1536,16,55,0.9092881944444444,0.5554795265197754,0.1441178172826767
45,126,3360,864,9,35,0.8961588541666666,0.5549129247665405,0.1426013559103012
46,255,3360,1344,14,35,0.9626736111111112,0.5547362565994263,0.14212851226329803
47,97,4800,672,7,50,0.9382595486111112,0.5545057058334351,0.1415114551782608
48,526,5280,2112,22,55,0.8986545138888888,0.5530455112457275,0.13760334253311157
49,387,4704,1728,18,49,0.9759114583333334,0.5527598857879639,0.1368388831615448
50,781,3456,2880,30,36,0.9682074652777778,0.5502201318740845,0.13004140555858612
51,785,3840,2880,30,40,0.9933810763888888,0.5492225885391235,0.12737153470516205
52,525,5184,2112,22,54,0.7387152777777778,0.5473260879516602,0.12229568511247635
53,2139,6624,5376,56,69,0.9717881944444444,0.5470724105834961,0.12161672860383987
54,59,4704,480,5,49,0.9091796875,0.544842004776001,0.11564719676971436
55,1167,4416,3744,39,46,0.9868706597222222,0.5426783561706543,0.10985633730888367
56,1394,1536,4224,44,16,0.9686414930555556,0.5398825407028198,0.10237351804971695
57,1491,5760,4320,45,60,0.9620225694444444,0.5382072925567627,0.09788982570171356
58,860,3936,3072,32,41,0.9849175347222222,0.5380713939666748,0.09752610325813293
59,438,3456,1920,20,36,0.9629991319444444,0.5365877151489258,0.09355513751506805
60,419,4896,1824,19,51,0.9535590277777778,0.5355901718139648,0.09088527411222458
61,1489,5568,4320,45,58,0.9621310763888888,0.5345619916915894,0.08813342452049255
62,1892,6144,4992,52,64,0.998046875,0.5334122180938721,0.0850561261177063
